detector,seed,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
isolation_forest,0,primary,official_test,14,1,climb,12241,0.3770358837566215,0.36507810350654146,0.41287291243666785,0.47794570141269643,0.5972617036910186
isolation_forest,0,primary,official_test,14,1,cruise,33377,0.37070238757197865,0.3559600642014262,0.4194183770793552,0.4627121114811215,0.585952113278376
isolation_forest,0,primary,official_test,14,1,descent,26650,0.42507444479682494,0.41980944815138266,0.5178245486937582,0.5461585918276421,0.59609367830081
isolation_forest,0,primary,official_test,15,2,climb,48789,0.3489051719240813,0.34375062731384015,0.3660351368145023,0.3779903512402404,0.4415065946353126
isolation_forest,0,primary,official_test,15,2,cruise,53466,0.36268397492357635,0.35828153123455897,0.3859377112037813,0.39945880346563367,0.47027384327023963
isolation_forest,0,primary,official_test,15,2,descent,45284,0.41619044400932015,0.40598974114134767,0.49932993016206145,0.5309220380892626,0.6118675593509567
isolation_forest,0,primary,official_test,all,mixed,climb,114708,0.34881156618609266,0.342169904106423,0.370121769899734,0.38745905677213666,0.47032904832193934
isolation_forest,0,primary,official_test,all,mixed,cruise,173378,0.3561499004561209,0.34938791656103924,0.3817100179141986,0.40747176607543817,0.5083658801562683
isolation_forest,0,primary,official_test,all,mixed,descent,145027,0.4065450021607972,0.3904044284866208,0.49095383286433025,0.526606801610529,0.6352052992798661
isolation_forest,0,alt_rate,train,2,3,climb,62603,0.3430228756884997,0.33599852143771786,0.3691092143999087,0.3803995327767386,0.4064421057608096
isolation_forest,0,alt_rate,train,2,3,cruise,68374,0.3417741565983575,0.33475851816177565,0.35946168735611833,0.3725737369665112,0.4489885005713289
isolation_forest,0,alt_rate,train,2,3,descent,57886,0.40037871592912816,0.38377144964282617,0.4747446825780142,0.5188703367722728,0.6612662158869453
isolation_forest,0,alt_rate,train,5,3,climb,53461,0.3422216663113118,0.336759977251156,0.36478603700389556,0.37569489263799255,0.40674396443133687
isolation_forest,0,alt_rate,train,5,3,cruise,77061,0.3423446620939931,0.335698994248733,0.3645193475418737,0.3719744862489485,0.3992755616871005
isolation_forest,0,alt_rate,train,5,3,descent,58028,0.3963065621467935,0.3814666299217824,0.46145067561543085,0.4994408761233156,0.6126866461477385
isolation_forest,0,alt_rate,train,10,3,climb,53315,0.33980737513123643,0.33269485535805365,0.36388125867119087,0.3731562295524384,0.4172599974878591
isolation_forest,0,alt_rate,train,10,3,cruise,76877,0.33825794347114757,0.33288964328938686,0.3555581421218365,0.3640948226382222,0.3962204757250521
isolation_forest,0,alt_rate,train,10,3,descent,57858,0.3941595030763898,0.3792978776700113,0.46150488432951386,0.49398927772273243,0.616782415356314
isolation_forest,0,alt_rate,train,16,3,climb,53813,0.3460214296336489,0.3417823782738348,0.3653958093858066,0.37409022522929775,0.40660158410929415
isolation_forest,0,alt_rate,train,16,3,cruise,79402,0.3438535572879849,0.3397514871502571,0.3600754407699976,0.3685340888951679,0.41214906300802445
isolation_forest,0,alt_rate,train,16,3,descent,61404,0.3955719645413313,0.3772248050390633,0.46656454724215796,0.5005790982458819,0.6241327362336417
