detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
isolation_forest,0,alt_rate,0.005,all,mixed,descent,76,0.6973684210526315,6.052631578947368,False
isolation_forest,0,alt_rate,0.005,all,mixed,overall,76,0.8552631578947368,7.868421052631579,False
isolation_forest,0,alt_rate,0.01,11,3,climb,18,0.7777777777777778,1.3333333333333333,True
isolation_forest,0,alt_rate,0.01,11,3,cruise,18,0.5555555555555556,3.0,True
isolation_forest,0,alt_rate,0.01,11,3,descent,18,1.0,18.22222222222222,True
isolation_forest,0,alt_rate,0.01,11,3,overall,18,1.0,22.555555555555557,True
isolation_forest,0,alt_rate,0.01,14,1,climb,35,0.6571428571428571,1.0857142857142856,False
isolation_forest,0,alt_rate,0.01,14,1,cruise,35,0.2571428571428571,2.2285714285714286,False
isolation_forest,0,alt_rate,0.01,14,1,descent,35,0.9142857142857143,5.257142857142857,False
isolation_forest,0,alt_rate,0.01,14,1,overall,35,1.0,8.571428571428571,False
isolation_forest,0,alt_rate,0.01,15,2,climb,23,0.6956521739130435,1.0434782608695652,False
isolation_forest,0,alt_rate,0.01,15,2,cruise,23,0.17391304347826086,1.3478260869565217,False
isolation_forest,0,alt_rate,0.01,15,2,descent,23,0.9565217391304348,10.217391304347826,False
isolation_forest,0,alt_rate,0.01,15,2,overall,23,1.0,12.565217391304348,False
isolation_forest,0,alt_rate,0.01,all,mixed,climb,76,0.6973684210526315,1.131578947368421,False
isolation_forest,0,alt_rate,0.01,all,mixed,cruise,76,0.3026315789473684,2.1447368421052633,False
isolation_forest,0,alt_rate,0.01,all,mixed,descent,76,0.9473684210526315,9.828947368421053,False
isolation_forest,0,alt_rate,0.01,all,mixed,overall,76,1.0,13.092105263157896,False
isolation_forest,0,alt_rate,0.02,11,3,climb,18,1.0,1.9444444444444444,True
isolation_forest,0,alt_rate,0.02,11,3,cruise,18,0.6111111111111112,3.888888888888889,True
isolation_forest,0,alt_rate,0.02,11,3,descent,18,1.0,31.833333333333332,True
isolation_forest,0,alt_rate,0.02,11,3,overall,18,1.0,37.666666666666664,True
isolation_forest,0,alt_rate,0.02,14,1,climb,35,0.8285714285714286,2.0285714285714285,False
isolation_forest,0,alt_rate,0.02,14,1,cruise,35,0.42857142857142855,3.342857142857143,False
isolation_forest,0,alt_rate,0.02,14,1,descent,35,1.0,12.17142857142857,False
isolation_forest,0,alt_rate,0.02,14,1,overall,35,1.0,17.542857142857144,False
isolation_forest,0,alt_rate,0.02,15,2,climb,23,0.8695652173913043,1.6956521739130435,False
isolation_forest,0,alt_rate,0.02,15,2,cruise,23,0.17391304347826086,1.8695652173913044,False
isolation_forest,0,alt_rate,0.02,15,2,descent,23,1.0,25.0,False
isolation_forest,0,alt_rate,0.02,15,2,overall,23,1.0,28.52173913043478,False
isolation_forest,0,alt_rate,0.02,all,mixed,climb,76,0.881578947368421,1.9078947368421053,False
isolation_forest,0,alt_rate,0.02,all,mixed,cruise,76,0.39473684210526316,3.026315789473684,False
isolation_forest,0,alt_rate,0.02,all,mixed,descent,76,1.0,20.710526315789473,False
isolation_forest,0,alt_rate,0.02,all,mixed,overall,76,1.0,25.63157894736842,False
isolation_forest,1,primary,0.005,11,3,climb,18,0.3333333333333333,0.3888888888888889,True
isolation_forest,1,primary,0.005,11,3,cruise,18,0.7222222222222222,3.4444444444444446,True
isolation_forest,1,primary,0.005,11,3,descent,18,1.0,15.222222222222221,True
