detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.005,15,13,2,overall,5761,10,1,6,False
pca,-1,primary,0.005,15,13,2,climb,1671,0,0,0,False
pca,-1,primary,0.005,15,13,2,cruise,2573,0,0,0,False
pca,-1,primary,0.005,15,13,2,descent,1517,10,1,6,False
pca,-1,primary,0.005,15,14,2,overall,6942,6,1,3,False
pca,-1,primary,0.005,15,14,2,climb,2058,0,0,0,False
pca,-1,primary,0.005,15,14,2,cruise,3278,0,0,0,False
pca,-1,primary,0.005,15,14,2,descent,1606,6,1,3,False
pca,-1,primary,0.005,15,15,2,overall,8154,30,1,11,False
pca,-1,primary,0.005,15,15,2,climb,2033,0,0,0,False
pca,-1,primary,0.005,15,15,2,cruise,2970,30,1,11,False
pca,-1,primary,0.005,15,15,2,descent,3151,0,0,0,False
pca,-1,primary,0.005,15,16,2,overall,5218,35,1,23,False
pca,-1,primary,0.005,15,16,2,climb,2439,0,0,0,False
pca,-1,primary,0.005,15,16,2,cruise,1376,0,0,0,False
pca,-1,primary,0.005,15,16,2,descent,1403,35,1,23,False
pca,-1,primary,0.005,15,17,2,overall,5804,65,1,17,False
pca,-1,primary,0.005,15,17,2,climb,1845,0,0,0,False
pca,-1,primary,0.005,15,17,2,cruise,2329,0,0,0,False
pca,-1,primary,0.005,15,17,2,descent,1630,65,1,17,False
pca,-1,primary,0.005,15,18,2,overall,8154,26,1,15,False
pca,-1,primary,0.005,15,18,2,climb,2033,0,0,0,False
pca,-1,primary,0.005,15,18,2,cruise,2970,26,1,15,False
pca,-1,primary,0.005,15,18,2,descent,3151,0,0,0,False
pca,-1,primary,0.005,15,19,2,overall,6782,122,1,52,False
pca,-1,primary,0.005,15,19,2,climb,2887,0,0,0,False
pca,-1,primary,0.005,15,19,2,cruise,1196,11,1,7,False
pca,-1,primary,0.005,15,19,2,descent,2699,111,1,45,False
pca,-1,primary,0.005,15,20,2,overall,6265,0,0,0,False
