detector,seed,phase_definition,nominal_fpr,phase,bootstrap_unit,repetitions,estimate,ci_lower_95,ci_upper_95
isolation_forest,2,primary,0.01,cruise,flight,500,0.005750441232451637,0.0034750805658052795,0.008556983702031215
isolation_forest,2,primary,0.01,descent,flight,500,0.024705744447585623,0.01890138473256402,0.03252122002048774
isolation_forest,2,primary,0.01,overall,flight,500,0.011269576299949435,0.008614742007008557,0.013882617706415778
isolation_forest,2,primary,0.02,climb,flight,500,0.005701433204310075,0.004166010572345047,0.007857479702565973
isolation_forest,2,primary,0.02,cruise,flight,500,0.00970134619155833,0.006574255151897993,0.014271322685463833
isolation_forest,2,primary,0.02,descent,flight,500,0.07088335275500424,0.05589739854401692,0.08944887875950581
isolation_forest,2,primary,0.02,overall,flight,500,0.029128656955575104,0.023518463278613618,0.03571796313578302
lstm_autoencoder,0,alt_rate,0.005,climb,flight,500,0.0038070965546171927,0.00300194828639698,0.004963419832372206
lstm_autoencoder,0,alt_rate,0.005,cruise,flight,500,0.0018962455606291223,0.0009085955967983143,0.003156013614717533
lstm_autoencoder,0,alt_rate,0.005,descent,flight,500,0.011093970085183447,0.007931811539893627,0.015315868296557338
lstm_autoencoder,0,alt_rate,0.005,overall,flight,500,0.005619780519171671,0.0044821741984552325,0.007136104834553269
lstm_autoencoder,0,alt_rate,0.01,climb,flight,500,0.005247619575283158,0.0042155389820852434,0.006839055686867841
lstm_autoencoder,0,alt_rate,0.01,cruise,flight,500,0.003526128868594622,0.001752264573910308,0.006038406579532014
lstm_autoencoder,0,alt_rate,0.01,descent,flight,500,0.028948957005835402,0.021352144963900966,0.03662802139364528
lstm_autoencoder,0,alt_rate,0.01,overall,flight,500,0.01277957484536368,0.009915639715002585,0.016055207432878225
lstm_autoencoder,0,alt_rate,0.02,climb,flight,500,0.007376744259674062,0.0060752612306521955,0.009083913414206824
lstm_autoencoder,0,alt_rate,0.02,cruise,flight,500,0.005339928970065956,0.002705107262863231,0.009039674290292017
lstm_autoencoder,0,alt_rate,0.02,descent,flight,500,0.06623515997048762,0.05328385116750612,0.08128096075167517
lstm_autoencoder,0,alt_rate,0.02,overall,flight,500,0.026895983265337223,0.021638507970583906,0.03353379442907643
lstm_autoencoder,0,primary,0.005,climb,flight,500,0.004149666980507027,0.0031069017957668834,0.005632732777296256
lstm_autoencoder,0,primary,0.005,cruise,flight,500,0.0026531624542906252,0.0015799494401712443,0.003971379433159658
lstm_autoencoder,0,primary,0.005,descent,flight,500,0.010329111131030773,0.00698270762405105,0.014567790506620102
lstm_autoencoder,0,primary,0.005,overall,flight,500,0.005619780519171671,0.004481531145041811,0.007149970936255777
lstm_autoencoder,0,primary,0.01,climb,flight,500,0.0056927154165359,0.004391184903527931,0.007213093346367751
lstm_autoencoder,0,primary,0.01,cruise,flight,500,0.004562285872486705,0.002798763150376627,0.007032982484420701
lstm_autoencoder,0,primary,0.01,descent,flight,500,0.02820854047866949,0.019670503214452444,0.037565808709014145
lstm_autoencoder,0,primary,0.01,overall,flight,500,0.01277957484536368,0.00985250284413508,0.01640241264245198
lstm_autoencoder,0,primary,0.02,climb,flight,500,0.007889597935627855,0.0061600746048244516,0.009929555010416188
lstm_autoencoder,0,primary,0.02,cruise,flight,500,0.007134699904255442,0.004378470754602802,0.011237268760129652
lstm_autoencoder,0,primary,0.02,descent,flight,500,0.06555331076282347,0.051460719605624275,0.08425948839989585
lstm_autoencoder,0,primary,0.02,overall,flight,500,0.026895983265337223,0.022139388981520194,0.03263707959869706
