detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
isolation_forest,0,primary,0.005,11,3,climb,cruise,86535,721,0.0083318888311088,0.4760666735222631,True
isolation_forest,0,primary,0.005,11,3,climb,descent,73093,5769,0.07892684662005937,0.4760666735222631,True
isolation_forest,0,primary,0.005,14,1,climb,climb,12241,622,0.0508128420880647,0.4760666735222631,False
isolation_forest,0,primary,0.005,14,1,climb,cruise,33377,1356,0.0406267789196153,0.4760666735222631,False
isolation_forest,0,primary,0.005,14,1,climb,descent,26650,5911,0.22180112570356472,0.4760666735222631,False
isolation_forest,0,primary,0.005,15,2,climb,climb,48789,282,0.005779991391502183,0.4760666735222631,False
isolation_forest,0,primary,0.005,15,2,climb,cruise,53466,483,0.009033778476040848,0.4760666735222631,False
isolation_forest,0,primary,0.005,15,2,climb,descent,45284,7356,0.16244148043459058,0.4760666735222631,False
isolation_forest,0,primary,0.005,all,mixed,climb,climb,114708,1074,0.009362904069463333,0.4760666735222631,False
isolation_forest,0,primary,0.005,all,mixed,climb,cruise,173378,2560,0.014765425832573913,0.4760666735222631,False
isolation_forest,0,primary,0.005,all,mixed,climb,descent,145027,19036,0.1312583174167569,0.4760666735222631,False
isolation_forest,0,primary,0.005,11,3,cruise,climb,53678,90,0.0016766645553113007,0.528867284515488,True
isolation_forest,0,primary,0.005,11,3,cruise,cruise,86535,449,0.005188651990524065,0.528867284515488,True
isolation_forest,0,primary,0.005,11,3,cruise,descent,73093,2522,0.034503988069993025,0.528867284515488,True
isolation_forest,0,primary,0.005,14,1,cruise,climb,12241,299,0.02442610897802467,0.528867284515488,False
isolation_forest,0,primary,0.005,14,1,cruise,cruise,33377,674,0.02019354645414507,0.528867284515488,False
isolation_forest,0,primary,0.005,14,1,cruise,descent,26650,2038,0.07647279549718575,0.528867284515488,False
isolation_forest,0,primary,0.005,15,2,cruise,climb,48789,155,0.0031769456229887886,0.528867284515488,False
isolation_forest,0,primary,0.005,15,2,cruise,cruise,53466,292,0.005461414730856993,0.528867284515488,False
isolation_forest,0,primary,0.005,15,2,cruise,descent,45284,2358,0.05207137178694462,0.528867284515488,False
isolation_forest,0,primary,0.005,all,mixed,cruise,climb,114708,544,0.004742476549150888,0.528867284515488,False
isolation_forest,0,primary,0.005,all,mixed,cruise,cruise,173378,1415,0.008161358419176597,0.528867284515488,False
isolation_forest,0,primary,0.005,all,mixed,cruise,descent,145027,6918,0.04770146248629566,0.528867284515488,False
isolation_forest,0,primary,0.005,11,3,descent,climb,53678,1,1.8629606170125563e-05,0.6982906444813312,True
isolation_forest,0,primary,0.005,11,3,descent,cruise,86535,53,0.0006124689432021725,0.6982906444813312,True
isolation_forest,0,primary,0.005,11,3,descent,descent,73093,396,0.005417755462219364,0.6982906444813312,True
isolation_forest,0,primary,0.005,14,1,descent,climb,12241,52,0.0042480189526999425,0.6982906444813312,False
isolation_forest,0,primary,0.005,14,1,descent,cruise,33377,23,0.0006890972825598466,0.6982906444813312,False
isolation_forest,0,primary,0.005,14,1,descent,descent,26650,149,0.005590994371482177,0.6982906444813312,False
isolation_forest,0,primary,0.005,15,2,descent,climb,48789,24,0.0004919141609789092,0.6982906444813312,False
isolation_forest,0,primary,0.005,15,2,descent,cruise,53466,41,0.00076684247933266,0.6982906444813312,False
isolation_forest,0,primary,0.005,15,2,descent,descent,45284,227,0.005012808055825457,0.6982906444813312,False
isolation_forest,0,primary,0.005,all,mixed,descent,climb,114708,77,0.0006712696586114307,0.6982906444813312,False
isolation_forest,0,primary,0.005,all,mixed,descent,cruise,173378,117,0.0006748261025043546,0.6982906444813312,False
isolation_forest,0,primary,0.005,all,mixed,descent,descent,145027,772,0.005323146724403042,0.6982906444813312,False
isolation_forest,0,primary,0.01,11,3,climb,climb,53678,398,0.007414583255709975,0.42973281777409733,True
isolation_forest,0,primary,0.01,11,3,climb,cruise,86535,1651,0.01907898538163749,0.42973281777409733,True
isolation_forest,0,primary,0.01,11,3,climb,descent,73093,14949,0.204520268698781,0.42973281777409733,True
isolation_forest,0,primary,0.01,14,1,climb,climb,12241,911,0.0744220243444163,0.42973281777409733,False
isolation_forest,0,primary,0.01,14,1,climb,cruise,33377,2871,0.08601731731431825,0.42973281777409733,False
isolation_forest,0,primary,0.01,14,1,climb,descent,26650,11706,0.43924953095684804,0.42973281777409733,False
isolation_forest,0,primary,0.01,15,2,climb,climb,48789,587,0.012031400520609154,0.42973281777409733,False
isolation_forest,0,primary,0.01,15,2,climb,cruise,53466,1307,0.024445441963116748,0.42973281777409733,False
isolation_forest,0,primary,0.01,15,2,climb,descent,45284,16867,0.37247151311721577,0.42973281777409733,False
isolation_forest,0,primary,0.01,all,mixed,climb,climb,114708,1896,0.01652892561983471,0.42973281777409733,False
isolation_forest,0,primary,0.01,all,mixed,climb,cruise,173378,5829,0.0336201824914349,0.42973281777409733,False
isolation_forest,0,primary,0.01,all,mixed,climb,descent,145027,43522,0.3000958442221104,0.42973281777409733,False
