detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
isolation_forest,0,primary,0.02,15,2,overall,147539,4306,0.02918550349399142,0.5073643629041794,False
isolation_forest,0,primary,0.02,15,2,climb,48789,198,0.0040582918280760005,0.5073643629041794,False
isolation_forest,0,primary,0.02,15,2,cruise,53466,334,0.006246960685295328,0.5073643629041794,False
isolation_forest,0,primary,0.02,15,2,descent,45284,3774,0.08334069428495716,0.5073643629041794,False
isolation_forest,0,primary,0.02,all,mixed,overall,433113,13133,0.03032234082098667,0.5073643629041794,False
isolation_forest,0,primary,0.02,all,mixed,climb,114708,739,0.006442445165114901,0.5073643629041794,False
isolation_forest,0,primary,0.02,all,mixed,cruise,173378,1754,0.01011662379309947,0.5073643629041794,False
isolation_forest,0,primary,0.02,all,mixed,descent,145027,10640,0.07336564915498493,0.5073643629041794,False
isolation_forest,0,alt_rate,0.005,11,3,overall,213306,1154,0.005410068164983638,0.6284700307065089,True
isolation_forest,0,alt_rate,0.005,11,3,climb,58507,27,0.0004614832413215513,0.6284700307065089,True
isolation_forest,0,alt_rate,0.005,11,3,cruise,83871,119,0.0014188456081363045,0.6284700307065089,True
isolation_forest,0,alt_rate,0.005,11,3,descent,70928,1008,0.014211594856756148,0.6284700307065089,True
isolation_forest,0,alt_rate,0.005,14,1,overall,72268,448,0.006199147617202635,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,14,1,climb,13993,97,0.006932037447295076,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,14,1,cruise,30506,138,0.004523700255687406,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,14,1,descent,27769,213,0.007670423853937844,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,15,2,overall,147539,545,0.00369393855184053,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,15,2,climb,53843,39,0.0007243281392195829,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,15,2,cruise,43303,23,0.0005311410294898737,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,15,2,descent,50393,483,0.009584664536741214,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,all,mixed,overall,433113,2147,0.004957135897560221,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,all,mixed,climb,126343,163,0.0012901387492777598,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,all,mixed,cruise,157680,280,0.0017757483510908167,0.6284700307065089,False
isolation_forest,0,alt_rate,0.005,all,mixed,descent,149090,1704,0.011429337983768193,0.6284700307065089,False
isolation_forest,0,alt_rate,0.01,11,3,overall,213306,2003,0.00939026562778356,0.565119723987118,True
isolation_forest,0,alt_rate,0.01,11,3,climb,58507,70,0.0011964380330558735,0.565119723987118,True
isolation_forest,0,alt_rate,0.01,11,3,cruise,83871,182,0.0021699991653849364,0.565119723987118,True
isolation_forest,0,alt_rate,0.01,11,3,descent,70928,1751,0.02468700654184525,0.565119723987118,True
isolation_forest,0,alt_rate,0.01,14,1,overall,72268,1299,0.017974760613272817,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,14,1,climb,13993,183,0.013077967555206174,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,14,1,cruise,30506,372,0.012194322428374746,0.565119723987118,False
