detector,phase_definition,subset,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
history,alt_rate,calibration,20,3,overall,193354,2017,0.010431643513969196,0.5031777905496853
history,alt_rate,calibration,20,3,climb,52201,8,0.00015325376908488343,0.5031777905496853
history,alt_rate,calibration,20,3,cruise,79401,120,0.0015113159783881815,0.5031777905496853
history,alt_rate,calibration,20,3,descent,61752,1889,0.030590102344863323,0.5031777905496853
history,alt_rate,calibration,all,mixed,overall,386643,3866,0.009998887862964026,0.5031777905496853
history,alt_rate,calibration,all,mixed,climb,111359,49,0.00044001831913002094,0.5031777905496853
history,alt_rate,calibration,all,mixed,cruise,150784,199,0.001319768675721562,0.5031777905496853
history,alt_rate,calibration,all,mixed,descent,124500,3618,0.02906024096385542,0.5031777905496853
history,alt_rate,official_test,11,3,overall,213306,2435,0.01141552511415525,0.5031777905496853
history,alt_rate,official_test,11,3,climb,58507,72,0.00123062197685747,0.5031777905496853
history,alt_rate,official_test,11,3,cruise,83871,197,0.0023488452504441346,0.5031777905496853
history,alt_rate,official_test,11,3,descent,70928,2166,0.030538010376720055,0.5031777905496853
history,alt_rate,official_test,14,1,overall,72268,1525,0.02110200918802236,0.5031777905496853
history,alt_rate,official_test,14,1,climb,13993,37,0.0026441792324733795,0.5031777905496853
history,alt_rate,official_test,14,1,cruise,30506,146,0.004785943748770734,0.5031777905496853
history,alt_rate,official_test,14,1,descent,27769,1342,0.04832727141776801,0.5031777905496853
history,alt_rate,official_test,15,2,overall,147539,1942,0.013162621408576715,0.5031777905496853
history,alt_rate,official_test,15,2,climb,53843,56,0.00104006091785376,0.5031777905496853
history,alt_rate,official_test,15,2,cruise,43303,82,0.0018936332355725932,0.5031777905496853
history,alt_rate,official_test,15,2,descent,50393,1804,0.035798622824598655,0.5031777905496853
history,alt_rate,official_test,all,mixed,overall,433113,5902,0.013626928769166477,0.5031777905496853
history,alt_rate,official_test,all,mixed,climb,126343,165,0.0013059686725817813,0.5031777905496853
history,alt_rate,official_test,all,mixed,cruise,157680,425,0.0026953323186199897,0.5031777905496853
history,alt_rate,official_test,all,mixed,descent,149090,5312,0.035629485545643574,0.5031777905496853
