detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
static,alt_rate,official_test,11,2,3,climb,3879,0,0,0
static,alt_rate,official_test,11,2,3,cruise,9869,31,1,10
static,alt_rate,official_test,11,2,3,descent,3888,236,1,60
static,alt_rate,official_test,11,3,3,overall,9831,259,1,75
static,alt_rate,official_test,11,3,3,climb,2327,1,1,1
static,alt_rate,official_test,11,3,3,cruise,2755,14,1,4
static,alt_rate,official_test,11,3,3,descent,4749,244,1,70
static,alt_rate,official_test,11,4,3,overall,13140,84,1,33
static,alt_rate,official_test,11,4,3,climb,3297,0,0,0
static,alt_rate,official_test,11,4,3,cruise,6273,0,0,0
static,alt_rate,official_test,11,4,3,descent,3570,84,1,33
static,alt_rate,official_test,11,5,3,overall,13751,126,1,68
static,alt_rate,official_test,11,5,3,climb,2298,0,0,0
static,alt_rate,official_test,11,5,3,cruise,6278,12,1,8
static,alt_rate,official_test,11,5,3,descent,5175,114,1,60
static,alt_rate,official_test,11,6,3,overall,11689,140,1,60
static,alt_rate,official_test,11,6,3,climb,1743,0,0,0
static,alt_rate,official_test,11,6,3,cruise,6205,31,1,15
static,alt_rate,official_test,11,6,3,descent,3741,109,1,45
static,alt_rate,official_test,11,7,3,overall,11007,100,1,45
static,alt_rate,official_test,11,7,3,climb,2930,0,0,0
static,alt_rate,official_test,11,7,3,cruise,3885,29,1,12
static,alt_rate,official_test,11,7,3,descent,4192,71,1,33
static,alt_rate,official_test,11,8,3,overall,8826,221,1,30
static,alt_rate,official_test,11,8,3,climb,4070,22,1,5
static,alt_rate,official_test,11,8,3,cruise,3030,0,0,0
static,alt_rate,official_test,11,8,3,descent,1726,199,1,25
static,alt_rate,official_test,11,9,3,overall,8928,152,1,43
static,alt_rate,official_test,11,9,3,climb,2568,19,1,9
static,alt_rate,official_test,11,9,3,cruise,3414,0,0,0
static,alt_rate,official_test,11,9,3,descent,2946,133,1,34
static,alt_rate,official_test,11,10,3,overall,13940,30,1,22
static,alt_rate,official_test,11,10,3,climb,4340,0,0,0
static,alt_rate,official_test,11,10,3,cruise,5054,4,1,2
static,alt_rate,official_test,11,10,3,descent,4546,26,1,20
static,alt_rate,official_test,11,11,3,overall,13751,116,1,54
static,alt_rate,official_test,11,11,3,climb,2298,0,0,0
static,alt_rate,official_test,11,11,3,cruise,6278,11,1,10
static,alt_rate,official_test,11,11,3,descent,5175,105,1,44
static,alt_rate,official_test,11,12,3,overall,14346,94,1,35
static,alt_rate,official_test,11,12,3,climb,3497,26,1,6
static,alt_rate,official_test,11,12,3,cruise,6768,1,1,1
static,alt_rate,official_test,11,12,3,descent,4081,67,1,28
static,alt_rate,official_test,11,13,3,overall,10704,100,1,32
static,alt_rate,official_test,11,13,3,climb,3236,0,0,0
static,alt_rate,official_test,11,13,3,cruise,4152,34,1,13
static,alt_rate,official_test,11,13,3,descent,3316,66,1,19
static,alt_rate,official_test,11,14,3,overall,11573,103,1,56
static,alt_rate,official_test,11,14,3,climb,3665,0,0,0
static,alt_rate,official_test,11,14,3,cruise,3719,8,1,6
static,alt_rate,official_test,11,14,3,descent,4189,95,1,50
static,alt_rate,official_test,11,15,3,overall,7701,39,1,21
static,alt_rate,official_test,11,15,3,climb,2453,2,1,2
static,alt_rate,official_test,11,15,3,cruise,1248,0,0,0
static,alt_rate,official_test,11,15,3,descent,4000,37,1,19
static,alt_rate,official_test,11,16,3,overall,11457,96,1,30
static,alt_rate,official_test,11,16,3,climb,3793,0,0,0
static,alt_rate,official_test,11,16,3,cruise,4388,2,1,1
static,alt_rate,official_test,11,16,3,descent,3276,94,1,29
static,alt_rate,official_test,11,17,3,overall,11457,100,1,27
static,alt_rate,official_test,11,17,3,climb,3793,0,0,0
static,alt_rate,official_test,11,17,3,cruise,4388,2,1,1
static,alt_rate,official_test,11,17,3,descent,3276,98,1,26
static,alt_rate,official_test,11,18,3,overall,12562,202,1,63
static,alt_rate,official_test,11,18,3,climb,5390,0,0,0
static,alt_rate,official_test,11,18,3,cruise,2282,0,0,0
static,alt_rate,official_test,11,18,3,descent,4890,202,1,63
static,alt_rate,official_test,14,1,1,overall,2551,22,1,7
static,alt_rate,official_test,14,1,1,climb,94,0,0,0
static,alt_rate,official_test,14,1,1,cruise,2339,10,1,2
static,alt_rate,official_test,14,1,1,descent,118,12,1,5
static,alt_rate,official_test,14,2,1,overall,1528,30,1,12
static,alt_rate,official_test,14,2,1,climb,495,0,0,0
static,alt_rate,official_test,14,2,1,cruise,475,4,1,3
static,alt_rate,official_test,14,2,1,descent,558,26,1,9
static,alt_rate,official_test,14,3,1,overall,1887,37,1,16
static,alt_rate,official_test,14,3,1,climb,262,10,1,3
static,alt_rate,official_test,14,3,1,cruise,1323,18,1,10
static,alt_rate,official_test,14,3,1,descent,302,9,1,3
static,alt_rate,official_test,14,4,1,overall,1303,79,1,25
static,alt_rate,official_test,14,4,1,climb,96,9,1,1
static,alt_rate,official_test,14,4,1,cruise,1050,46,1,17
static,alt_rate,official_test,14,4,1,descent,157,24,1,7
static,alt_rate,official_test,14,5,1,overall,2641,102,1,15
static,alt_rate,official_test,14,5,1,climb,1220,0,0,0
static,alt_rate,official_test,14,5,1,cruise,41,0,0,0
static,alt_rate,official_test,14,5,1,descent,1380,102,1,15
static,alt_rate,official_test,14,6,1,overall,2918,25,1,14
static,alt_rate,official_test,14,6,1,climb,265,4,1,2
static,alt_rate,official_test,14,6,1,cruise,1361,7,1,7
