detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
static_derivative,primary,train,10,3,cruise,83833,0.024738119556309644,0.008517817873400084,0.041178851153047175,0.06833148641400494,0.13152159168307984
static_derivative,primary,train,10,3,descent,53790,0.12433164533143232,0.04350423802838228,0.14156369531719612,0.24623008821309778,0.7555755495104475
static_derivative,primary,train,16,3,climb,52689,0.016567909872771014,0.011701768268851163,0.033030101291092816,0.04953836485569809,0.10140377216590814
static_derivative,primary,train,16,3,cruise,84042,0.03653314189828335,0.0145435050592751,0.05950476141960225,0.08058883888219877,0.23971237692727526
static_derivative,primary,train,16,3,descent,57888,0.2563952518452569,0.047001440810445064,0.15968436055078547,0.30838794913530715,0.8371774475033832
static_derivative,primary,train,all,mixed,climb,209242,0.014318435279779149,0.008272484281072204,0.030863673242836096,0.046712483132107074,0.10109568634743249
static_derivative,primary,train,all,mixed,cruise,331938,0.033952008731047,0.011642736221896582,0.05551785695444315,0.07871060675723227,0.18660234397092193
static_derivative,primary,train,all,mixed,descent,218902,0.16465151707668807,0.043299692024308625,0.1466173053982961,0.29602447009874666,0.8405412138079374
static_derivative,primary,calibration,18,3,climb,56332,0.01842311972224326,0.012851142870142378,0.030941034971816973,0.05017322437026289,0.1188708733610539
static_derivative,primary,calibration,18,3,cruise,78219,0.04109432032132227,0.013275092339452746,0.040684585344317264,0.0690652939680852,0.15358712185669665
static_derivative,primary,calibration,18,3,descent,58738,0.1532627245051617,0.049119949488962866,0.12746087430559896,0.28138687850286026,0.78841832798963
static_derivative,primary,calibration,20,3,climb,53830,0.01929248749003211,0.011384323124425489,0.04382238961575204,0.06893381972704063,0.11370815261012417
static_derivative,primary,calibration,20,3,cruise,68886,0.0831632298723954,0.013237989283328559,0.06924056402008522,0.09665322930847606,0.2909391990471902
static_derivative,primary,calibration,20,3,descent,70638,2.4407556145738547,0.04986427907771985,0.16303900832137252,0.256924999640218,0.8462869359814047
static_derivative,primary,calibration,all,mixed,climb,110162,0.01884793106317819,0.012360468822743718,0.03854569855444643,0.05971472621700434,0.11631810603078138
static_derivative,primary,calibration,all,mixed,cruise,147105,0.060794255084486166,0.013259957172078661,0.0540157418816645,0.08331599448608956,0.2040092889504487
static_derivative,primary,calibration,all,mixed,descent,129376,1.4022109279483999,0.04946306200850325,0.15120414121041814,0.26544612283199903,0.8273591006800555
static_derivative,primary,official_test,11,3,climb,53678,0.014061856316469484,0.008434949396167082,0.025476379402551173,0.04153612750740147,0.09814893719673426
static_derivative,primary,official_test,11,3,cruise,86535,0.04433681845425769,0.010551253049933316,0.05410523891188863,0.08485089614247539,0.20297371335071554
static_derivative,primary,official_test,11,3,descent,73093,0.13364167248646103,0.03945542028290573,0.1487353587069624,0.3134225509682391,0.9167067909427334
static_derivative,primary,official_test,14,1,climb,12241,0.0416658485763749,0.02870681545427233,0.07774847205196815,0.11880855379903019,0.23974988661779675
static_derivative,primary,official_test,14,1,cruise,33377,0.05308087037694199,0.03628391222704035,0.09373353120845837,0.13028472262669832,0.3885790014655111
static_derivative,primary,official_test,14,1,descent,26650,0.12567274919898822,0.05127432858207513,0.22679379397024724,0.4490411928101069,0.6971101478328812
static_derivative,primary,official_test,15,2,climb,48789,0.023649447070314085,0.015713210265769918,0.04781698742557845,0.06073000087295924,0.12112178642652943
static_derivative,primary,official_test,15,2,cruise,53466,0.045987461378904124,0.02080164998401805,0.05104747736288919,0.07202878674392929,0.19707869775558506
static_derivative,primary,official_test,15,2,descent,45284,3.4954036438694227,0.06023552173074576,0.20311553322199988,0.4048586837122329,0.8364051843948385
static_derivative,primary,official_test,all,mixed,climb,114708,0.02108551146295296,0.012676146395352451,0.04563052233410974,0.0614666562666189,0.1354273023078068
static_derivative,primary,official_test,all,mixed,cruise,173378,0.04652915828764243,0.017551481488157793,0.06511081436814374,0.09171176189858393,0.24634930582127643
static_derivative,primary,official_test,all,mixed,descent,145027,1.181871707628158,0.04877258749061183,0.17988480292450723,0.3607881706678881,0.8315713248548173
static_derivative,alt_rate,train,2,3,climb,62603,0.013677799767324441,0.008378020625836086,0.029248900290532943,0.04226926294862643,0.07285162057159812
static_derivative,alt_rate,train,2,3,cruise,68374,0.036143657592483655,0.012820409990133789,0.04381333618317482,0.07090669698292673,0.17511148185463524
static_derivative,alt_rate,train,2,3,descent,57886,0.15994983333791646,0.04375551492900506,0.1551543393092577,0.33958105933865707,1.189345960818386
static_derivative,alt_rate,train,5,3,climb,53461,0.012494704531734556,0.006496198061139981,0.02610718648382638,0.04440742659034235,0.08421378866964857
static_derivative,alt_rate,train,5,3,cruise,77061,0.022578394092252575,0.011625991291845607,0.05734219715789881,0.07239477758440839,0.10833026434542378
static_derivative,alt_rate,train,5,3,descent,58028,0.1222347160088652,0.040932258698553665,0.13607541345234464,0.3101020236756758,0.8258691017833216
static_derivative,alt_rate,train,10,3,climb,53315,0.013184579009752069,0.005515243819293675,0.03105134761490487,0.047507988438570084,0.1198747820648802
static_derivative,alt_rate,train,10,3,cruise,76877,0.01616680520405787,0.008039005087376526,0.03283290098605882,0.051935749043577104,0.09983111134663339
static_derivative,alt_rate,train,10,3,descent,57858,0.12945346902181248,0.04455201473827497,0.14099105248462956,0.2446252469168943,0.7979018919305212
