detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
condition_corrected_pca,primary,official_test,11,3,cruise,86535,0.03636030497504317,0.008451439595008109,0.043952550808398834,0.07587039470669364,0.1917852224677325
condition_corrected_pca,primary,official_test,11,3,descent,73093,0.10411428185020825,0.041661685353155675,0.12405779792230401,0.2423932263871298,0.5318654493946307
condition_corrected_pca,primary,official_test,14,1,climb,12241,0.02956118510932225,0.016310871184061177,0.04820107428091117,0.0769174196541387,0.29079943615385107
condition_corrected_pca,primary,official_test,14,1,cruise,33377,0.04882626680471797,0.029925215453769964,0.07109251417471912,0.11156818670879273,0.41549108318125755
condition_corrected_pca,primary,official_test,14,1,descent,26650,0.09078872318887073,0.05153849027007823,0.20044740566847385,0.3420502844480787,0.5942051712381095
condition_corrected_pca,primary,official_test,15,2,climb,48789,0.016941025611755447,0.009521557840538911,0.03394460059620266,0.0439432794759318,0.1270376299151311
condition_corrected_pca,primary,official_test,15,2,cruise,53466,0.03714708998739493,0.017908217748323567,0.04888407027323244,0.06882716656809115,0.19358211370848544
condition_corrected_pca,primary,official_test,15,2,descent,45284,0.11295243132681433,0.047938029753053696,0.17893655221921073,0.30064289955540263,0.5405910740664772
condition_corrected_pca,primary,official_test,all,mixed,climb,114708,0.016104937476196325,0.009043339198336987,0.030424983172112563,0.04315295846429171,0.1248369822183676
condition_corrected_pca,primary,official_test,all,mixed,cruise,173378,0.03900275474063889,0.014716113311962934,0.05569332345083005,0.07972947798674837,0.2475190387079997
condition_corrected_pca,primary,official_test,all,mixed,descent,145027,0.10442526271979796,0.04609066386504552,0.15308411932482732,0.2833952787417956,0.5435201338186632
condition_corrected_pca,alt_rate,train,2,3,climb,62603,0.009876759373815179,0.006199780306943428,0.020527993432985732,0.030435726854852397,0.05159079392764572
condition_corrected_pca,alt_rate,train,2,3,cruise,68374,0.026527419031266177,0.008550362118221473,0.03318171273464295,0.06084291914882365,0.16765130851179247
