detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
isolation_forest,0,primary,0.02,15,2,overall,216930,4186,0.019296547273313973,0.4879599265088624
isolation_forest,0,primary,0.02,15,2,climb,64502,400,0.006201358097423336,0.4879599265088624
isolation_forest,0,primary,0.02,15,2,cruise,61379,1101,0.017937731145831637,0.4879599265088624
isolation_forest,0,primary,0.02,15,2,descent,91049,2685,0.029489615481773552,0.4879599265088624
isolation_forest,0,primary,0.02,all,mixed,overall,1294679,33993,0.026255929075855867,0.4879599265088624
isolation_forest,0,primary,0.02,all,mixed,climb,326613,2468,0.007556343440095771,0.4879599265088624
isolation_forest,0,primary,0.02,all,mixed,cruise,436402,8226,0.018849592806632415,0.4879599265088624
isolation_forest,0,primary,0.02,all,mixed,descent,531664,23299,0.04382279033374462,0.4879599265088624
isolation_forest,1,primary,0.005,10,3,overall,249848,2170,0.008685280650635587,0.5682296223434734
isolation_forest,1,primary,0.005,10,3,climb,63828,119,0.001864385536128345,0.5682296223434734
isolation_forest,1,primary,0.005,10,3,cruise,95181,623,0.006545423981677016,0.5682296223434734
isolation_forest,1,primary,0.005,10,3,descent,90839,1428,0.01572012021268398,0.5682296223434734
isolation_forest,1,primary,0.005,11,3,overall,261207,1888,0.007227983936111972,0.5682296223434734
isolation_forest,1,primary,0.005,11,3,climb,63479,140,0.002205453772113612,0.5682296223434734
isolation_forest,1,primary,0.005,11,3,cruise,98352,499,0.005073613144623393,0.5682296223434734
isolation_forest,1,primary,0.005,11,3,descent,99376,1249,0.012568426984382547,0.5682296223434734
isolation_forest,1,primary,0.005,12,1,overall,155440,646,0.004155944415851776,0.5682296223434734
isolation_forest,1,primary,0.005,12,1,climb,35417,220,0.0062117062427647736,0.5682296223434734
isolation_forest,1,primary,0.005,12,1,cruise,47845,106,0.002215487511756714,0.5682296223434734
isolation_forest,1,primary,0.005,12,1,descent,72178,320,0.004433483887056998,0.5682296223434734
isolation_forest,1,primary,0.005,13,3,overall,251673,2034,0.008081915819336996,0.5682296223434734
isolation_forest,1,primary,0.005,13,3,climb,66056,201,0.003042872714060797,0.5682296223434734
isolation_forest,1,primary,0.005,13,3,cruise,81213,377,0.004642113947274451,0.5682296223434734
isolation_forest,1,primary,0.005,13,3,descent,104404,1456,0.013945825830427952,0.5682296223434734
isolation_forest,1,primary,0.005,14,1,overall,159581,648,0.004060633784723745,0.5682296223434734
