detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold
isolation_forest,2,primary,0.01,10,3,descent,descent,90839,1734,0.01908871740111626,0.551045741753007
isolation_forest,2,primary,0.01,11,3,descent,climb,63479,149,0.002347232943178059,0.551045741753007
isolation_forest,2,primary,0.01,11,3,descent,cruise,98352,756,0.0076866764275256225,0.551045741753007
isolation_forest,2,primary,0.01,11,3,descent,descent,99376,1495,0.015043873772339398,0.551045741753007
isolation_forest,2,primary,0.01,12,1,descent,climb,35417,235,0.006635231668407827,0.551045741753007
isolation_forest,2,primary,0.01,12,1,descent,cruise,47845,151,0.0031560246629741876,0.551045741753007
isolation_forest,2,primary,0.01,12,1,descent,descent,72178,501,0.006941173210673612,0.551045741753007
isolation_forest,2,primary,0.01,13,3,descent,climb,66056,232,0.0035121714908562434,0.551045741753007
isolation_forest,2,primary,0.01,13,3,descent,cruise,81213,519,0.006390602489749178,0.551045741753007
isolation_forest,2,primary,0.01,13,3,descent,descent,104404,1821,0.01744186046511628,0.551045741753007
isolation_forest,2,primary,0.01,14,1,descent,climb,33331,65,0.0019501365095556688,0.551045741753007
isolation_forest,2,primary,0.01,14,1,descent,cruise,52432,351,0.00669438510833079,0.551045741753007
isolation_forest,2,primary,0.01,14,1,descent,descent,73818,389,0.005269717413097077,0.551045741753007
isolation_forest,2,primary,0.01,15,2,descent,climb,64502,173,0.002682087377135593,0.551045741753007
isolation_forest,2,primary,0.01,15,2,descent,cruise,61379,397,0.006468010231512406,0.551045741753007
isolation_forest,2,primary,0.01,15,2,descent,descent,91049,799,0.008775494513943041,0.551045741753007
isolation_forest,2,primary,0.01,all,mixed,descent,climb,326613,1022,0.0031290854926166443,0.551045741753007
isolation_forest,2,primary,0.01,all,mixed,descent,cruise,436402,2932,0.006718575991860715,0.551045741753007
isolation_forest,2,primary,0.01,all,mixed,descent,descent,531664,6739,0.012675298684883686,0.551045741753007
isolation_forest,2,primary,0.02,10,3,climb,climb,63828,6248,0.09788807419941091,0.4249055993484546
isolation_forest,2,primary,0.02,10,3,climb,cruise,95181,5920,0.0621972872737206,0.4249055993484546
isolation_forest,2,primary,0.02,10,3,climb,descent,90839,20388,0.22444104404495865,0.4249055993484546
isolation_forest,2,primary,0.02,11,3,climb,climb,63479,729,0.011484112856220167,0.4249055993484546
isolation_forest,2,primary,0.02,11,3,climb,cruise,98352,7029,0.07146778916544656,0.4249055993484546
isolation_forest,2,primary,0.02,11,3,climb,descent,99376,18621,0.18737924649814844,0.4249055993484546
isolation_forest,2,primary,0.02,12,1,climb,climb,35417,2216,0.062568822881667,0.4249055993484546
isolation_forest,2,primary,0.02,12,1,climb,cruise,47845,2896,0.060528790887240044,0.4249055993484546
isolation_forest,2,primary,0.02,12,1,climb,descent,72178,16790,0.23261935769902187,0.4249055993484546
isolation_forest,2,primary,0.02,13,3,climb,climb,66056,2343,0.035469904323604216,0.4249055993484546
isolation_forest,2,primary,0.02,13,3,climb,cruise,81213,5793,0.07133094455321193,0.4249055993484546
isolation_forest,2,primary,0.02,13,3,climb,descent,104404,23534,0.22541281943220567,0.4249055993484546
isolation_forest,2,primary,0.02,14,1,climb,climb,33331,715,0.021451501605112357,0.4249055993484546
isolation_forest,2,primary,0.02,14,1,climb,cruise,52432,2628,0.050122062862374125,0.4249055993484546
isolation_forest,2,primary,0.02,14,1,climb,descent,73818,16340,0.2213552250128695,0.4249055993484546
isolation_forest,2,primary,0.02,15,2,climb,climb,64502,1828,0.028340206505224643,0.4249055993484546
isolation_forest,2,primary,0.02,15,2,climb,cruise,61379,3189,0.05195588067580117,0.4249055993484546
isolation_forest,2,primary,0.02,15,2,climb,descent,91049,16185,0.17776142516666849,0.4249055993484546
isolation_forest,2,primary,0.02,all,mixed,climb,climb,326613,14079,0.043106061301907764,0.4249055993484546
isolation_forest,2,primary,0.02,all,mixed,climb,cruise,436402,27455,0.06291217730441198,0.4249055993484546
isolation_forest,2,primary,0.02,all,mixed,climb,descent,531664,111858,0.21039227782960668,0.4249055993484546
isolation_forest,2,primary,0.02,10,3,cruise,climb,63828,978,0.015322429028012785,0.4783198229094114
isolation_forest,2,primary,0.02,10,3,cruise,cruise,95181,2661,0.02795726037759637,0.4783198229094114
isolation_forest,2,primary,0.02,10,3,cruise,descent,90839,6945,0.0764539459923601,0.4783198229094114
isolation_forest,2,primary,0.02,11,3,cruise,climb,63479,270,0.004253375131933395,0.4783198229094114
isolation_forest,2,primary,0.02,11,3,cruise,cruise,98352,2436,0.024768179599804784,0.4783198229094114
isolation_forest,2,primary,0.02,11,3,cruise,descent,99376,5076,0.05107873128320721,0.4783198229094114
isolation_forest,2,primary,0.02,12,1,cruise,climb,35417,466,0.01315752322331084,0.4783198229094114
isolation_forest,2,primary,0.02,12,1,cruise,cruise,47845,813,0.016992371198662346,0.4783198229094114
isolation_forest,2,primary,0.02,12,1,cruise,descent,72178,3904,0.054088503422095376,0.4783198229094114
isolation_forest,2,primary,0.02,13,3,cruise,climb,66056,558,0.008447377982318033,0.4783198229094114
isolation_forest,2,primary,0.02,13,3,cruise,cruise,81213,2279,0.028062009776759878,0.4783198229094114
isolation_forest,2,primary,0.02,13,3,cruise,descent,104404,4877,0.04671276962568484,0.4783198229094114
isolation_forest,2,primary,0.02,14,1,cruise,climb,33331,164,0.004920344424109688,0.4783198229094114
isolation_forest,2,primary,0.02,14,1,cruise,cruise,52432,1000,0.019072322245956667,0.4783198229094114
isolation_forest,2,primary,0.02,14,1,cruise,descent,73818,3417,0.046289522880598226,0.4783198229094114
isolation_forest,2,primary,0.02,15,2,cruise,climb,64502,459,0.007116058416793278,0.4783198229094114
isolation_forest,2,primary,0.02,15,2,cruise,cruise,61379,1262,0.020560778116293848,0.4783198229094114
isolation_forest,2,primary,0.02,15,2,cruise,descent,91049,3139,0.034475941525991496,0.4783198229094114
isolation_forest,2,primary,0.02,all,mixed,cruise,climb,326613,2895,0.008863701077421904,0.4783198229094114
isolation_forest,2,primary,0.02,all,mixed,cruise,cruise,436402,10451,0.02394810289595373,0.4783198229094114
isolation_forest,2,primary,0.02,all,mixed,cruise,descent,531664,27358,0.05145731138463391,0.4783198229094114
isolation_forest,2,primary,0.02,10,3,descent,climb,63828,413,0.00647051450773955,0.505678779293249
isolation_forest,2,primary,0.02,10,3,descent,cruise,95181,1555,0.016337294207877624,0.505678779293249
isolation_forest,2,primary,0.02,10,3,descent,descent,90839,3764,0.04143594711522584,0.505678779293249
isolation_forest,2,primary,0.02,11,3,descent,climb,63479,213,0.0033554403818585672,0.505678779293249
isolation_forest,2,primary,0.02,11,3,descent,cruise,98352,1475,0.01499715308280462,0.505678779293249
isolation_forest,2,primary,0.02,11,3,descent,descent,99376,2905,0.029232410239896957,0.505678779293249
isolation_forest,2,primary,0.02,12,1,descent,climb,35417,329,0.009289324335770958,0.505678779293249
isolation_forest,2,primary,0.02,12,1,descent,cruise,47845,368,0.007691503814400669,0.505678779293249
isolation_forest,2,primary,0.02,12,1,descent,descent,72178,1815,0.02514616642190141,0.505678779293249
isolation_forest,2,primary,0.02,13,3,descent,climb,66056,345,0.005222841225626741,0.505678779293249
isolation_forest,2,primary,0.02,13,3,descent,cruise,81213,1506,0.01854382918990802,0.505678779293249
isolation_forest,2,primary,0.02,13,3,descent,descent,104404,3202,0.030669323014443892,0.505678779293249
isolation_forest,2,primary,0.02,14,1,descent,climb,33331,101,0.0030302121148480395,0.505678779293249
isolation_forest,2,primary,0.02,14,1,descent,cruise,52432,666,0.01270216661580714,0.505678779293249
isolation_forest,2,primary,0.02,14,1,descent,descent,73818,1380,0.01869462732666829,0.505678779293249
isolation_forest,2,primary,0.02,15,2,descent,climb,64502,291,0.004511488015875476,0.505678779293249
isolation_forest,2,primary,0.02,15,2,descent,cruise,61379,821,0.013375910327636489,0.505678779293249
isolation_forest,2,primary,0.02,15,2,descent,descent,91049,1671,0.018352755109885887,0.505678779293249
isolation_forest,2,primary,0.02,all,mixed,descent,climb,326613,1692,0.005180442909498397,0.505678779293249
isolation_forest,2,primary,0.02,all,mixed,descent,cruise,436402,6391,0.01464475414869776,0.505678779293249
isolation_forest,2,primary,0.02,all,mixed,descent,descent,531664,14737,0.027718634325438623,0.505678779293249
lstm_autoencoder,0,primary,0.005,10,3,climb,climb,63828,550,0.00861690794008899,0.0582035668194294
lstm_autoencoder,0,primary,0.005,10,3,climb,cruise,95181,2728,0.028661182378836112,0.0582035668194294
lstm_autoencoder,0,primary,0.005,10,3,climb,descent,90839,4075,0.044859586741377605,0.0582035668194294
lstm_autoencoder,0,primary,0.005,11,3,climb,climb,63479,393,0.006191023803147498,0.0582035668194294
lstm_autoencoder,0,primary,0.005,11,3,climb,cruise,98352,2211,0.022480478282088823,0.0582035668194294
lstm_autoencoder,0,primary,0.005,11,3,climb,descent,99376,3016,0.030349380132023828,0.0582035668194294
lstm_autoencoder,0,primary,0.005,12,1,climb,climb,35417,456,0.012875172939548804,0.0582035668194294
lstm_autoencoder,0,primary,0.005,12,1,climb,cruise,47845,323,0.006750966663183196,0.0582035668194294
lstm_autoencoder,0,primary,0.005,12,1,climb,descent,72178,1077,0.014921444207376209,0.0582035668194294
lstm_autoencoder,0,primary,0.005,13,3,climb,climb,66056,659,0.009976383674458036,0.0582035668194294
