detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight
isolation_forest,1,primary,0.01,14,1,overall,35,1.0,16.771428571428572
isolation_forest,1,primary,0.01,15,2,climb,24,0.8333333333333334,2.9583333333333335
isolation_forest,1,primary,0.01,15,2,cruise,24,0.5,5.75
isolation_forest,1,primary,0.01,15,2,descent,24,1.0,16.791666666666668
isolation_forest,1,primary,0.01,15,2,overall,24,1.0,25.5
isolation_forest,1,primary,0.01,all,mixed,climb,148,0.8108108108108109,2.5945945945945947
isolation_forest,1,primary,0.01,all,mixed,cruise,148,0.6554054054054054,6.4391891891891895
isolation_forest,1,primary,0.01,all,mixed,descent,148,0.9932432432432432,20.986486486486488
isolation_forest,1,primary,0.01,all,mixed,overall,148,1.0,29.986486486486488
isolation_forest,1,primary,0.02,10,3,climb,17,0.8235294117647058,8.470588235294118
isolation_forest,1,primary,0.02,10,3,cruise,17,0.9411764705882353,18.058823529411764
isolation_forest,1,primary,0.02,10,3,descent,17,1.0,63.76470588235294
isolation_forest,1,primary,0.02,10,3,overall,17,1.0,90.11764705882354
isolation_forest,1,primary,0.02,11,3,climb,18,0.8333333333333334,2.3333333333333335
isolation_forest,1,primary,0.02,11,3,cruise,18,0.9444444444444444,21.0
isolation_forest,1,primary,0.02,11,3,descent,18,1.0,52.888888888888886
isolation_forest,1,primary,0.02,11,3,overall,18,1.0,76.16666666666667
isolation_forest,1,primary,0.02,12,1,climb,36,0.9722222222222222,2.3055555555555554
isolation_forest,1,primary,0.02,12,1,cruise,36,0.6944444444444444,4.416666666666667
isolation_forest,1,primary,0.02,12,1,descent,36,0.9722222222222222,22.75
isolation_forest,1,primary,0.02,12,1,overall,36,1.0,29.47222222222222
isolation_forest,1,primary,0.02,13,3,climb,18,0.8888888888888888,10.055555555555555
isolation_forest,1,primary,0.02,13,3,cruise,18,0.8333333333333334,11.444444444444445
isolation_forest,1,primary,0.02,13,3,descent,18,1.0,52.44444444444444
isolation_forest,1,primary,0.02,13,3,overall,18,1.0,73.77777777777777
isolation_forest,1,primary,0.02,14,1,climb,35,0.9714285714285714,1.6
isolation_forest,1,primary,0.02,14,1,cruise,35,0.6571428571428571,4.6
isolation_forest,1,primary,0.02,14,1,descent,35,1.0,24.285714285714285
isolation_forest,1,primary,0.02,14,1,overall,35,1.0,30.485714285714284
isolation_forest,1,primary,0.02,15,2,climb,24,0.9166666666666666,5.125
isolation_forest,1,primary,0.02,15,2,cruise,24,0.5833333333333334,8.375
isolation_forest,1,primary,0.02,15,2,descent,24,1.0,25.375
isolation_forest,1,primary,0.02,15,2,overall,24,1.0,38.875
isolation_forest,1,primary,0.02,all,mixed,climb,148,0.918918918918919,4.25
isolation_forest,1,primary,0.02,all,mixed,cruise,148,0.7432432432432432,9.54054054054054
isolation_forest,1,primary,0.02,all,mixed,descent,148,0.9932432432432432,35.527027027027025
isolation_forest,1,primary,0.02,all,mixed,overall,148,1.0,49.270270270270274
isolation_forest,2,primary,0.005,10,3,climb,17,0.5294117647058824,2.8823529411764706
isolation_forest,2,primary,0.005,10,3,cruise,17,0.8823529411764706,10.235294117647058
isolation_forest,2,primary,0.005,10,3,descent,17,1.0,23.823529411764707
isolation_forest,2,primary,0.005,10,3,overall,17,1.0,36.94117647058823
isolation_forest,2,primary,0.005,11,3,climb,18,0.5555555555555556,1.0
isolation_forest,2,primary,0.005,11,3,cruise,18,0.8888888888888888,11.277777777777779
isolation_forest,2,primary,0.005,11,3,descent,18,1.0,21.5
isolation_forest,2,primary,0.005,11,3,overall,18,1.0,33.72222222222222
isolation_forest,2,primary,0.005,12,1,climb,36,0.6944444444444444,1.0277777777777777
isolation_forest,2,primary,0.005,12,1,cruise,36,0.3333333333333333,1.3888888888888888
isolation_forest,2,primary,0.005,12,1,descent,36,0.9444444444444444,5.25
isolation_forest,2,primary,0.005,12,1,overall,36,1.0,7.666666666666667
isolation_forest,2,primary,0.005,13,3,climb,18,0.5,5.166666666666667
isolation_forest,2,primary,0.005,13,3,cruise,18,0.7777777777777778,5.833333333333333
isolation_forest,2,primary,0.005,13,3,descent,18,1.0,20.833333333333332
isolation_forest,2,primary,0.005,13,3,overall,18,1.0,31.77777777777778
isolation_forest,2,primary,0.005,14,1,climb,35,0.5714285714285714,0.7714285714285715
isolation_forest,2,primary,0.005,14,1,cruise,35,0.5142857142857142,2.7142857142857144
isolation_forest,2,primary,0.005,14,1,descent,35,0.9714285714285714,4.914285714285715
isolation_forest,2,primary,0.005,14,1,overall,35,1.0,8.4
isolation_forest,2,primary,0.005,15,2,climb,24,0.5416666666666666,1.625
isolation_forest,2,primary,0.005,15,2,cruise,24,0.5,4.916666666666667
isolation_forest,2,primary,0.005,15,2,descent,24,1.0,10.833333333333334
isolation_forest,2,primary,0.005,15,2,overall,24,1.0,17.375
isolation_forest,2,primary,0.005,all,mixed,climb,148,0.581081081081081,1.777027027027027
